IdMunicipio,Municipio,IdEstado
1,Aguascalientes,1
2,San Francisco de los Romo,1
3,El Llano,1
4,Rincón de Romos,1
5,Cosío,1
6,San José de Gracia,1
7,Tepezalá,1
8,Pabellón de Arteaga,1
9,Asientos,1
10,Calvillo,1
11,Jesús María,1
12,Mexicali,2
13,Tecate,2
14,San Felipe,2
15,Tijuana,2
16,Playas de Rosarito,2
17,Ensenada,2
18,San Quintín,2
19,La Paz,3
20,Los Cabos,3
21,Comondú,3
22,Loreto,3
23,Mulegé,3
24,Campeche,4
25,Carmen,4
26,Palizada,4
27,Candelaria,4
28,Escárcega,4
29,Champotón,4
30,Seybaplaya,4
31,Hopelchén,4
32,Calakmul,4
33,Tenabo,4
34,Hecelchakán,4
35,Calkiní,4
36,Dzitbalché,4
37,Saltillo,5
38,Arteaga,5
39,Juárez,5
40,Progreso,5
41,Escobedo,5
42,San Buenaventura,5
43,Abasolo,5
44,Candela,5
45,Frontera,5
46,Monclova,5
47,Castaños,5
48,Ramos Arizpe,5
49,General Cepeda,5
50,Piedras Negras,5
51,Nava,5
52,Acuña,5
53,Múzquiz,5
54,Jiménez,5
55,Zaragoza,5
56,Morelos,5
57,Allende,5
58,Villa Unión,5
59,Guerrero,5
60,Hidalgo,5
61,Sabinas,5
62,San Juan de Sabinas,5
63,Torreón,5
64,Matamoros,5
65,Viesca,5
66,Ocampo,5
67,Nadadores,5
68,Sierra Mojada,5
69,Cuatro Ciénegas,5
70,Lamadrid,5
71,Sacramento,5
72,San Pedro,5
73,Francisco I. Madero,5
74,Parras,5
75,Colima,6
76,Tecomán,6
77,Manzanillo,6
78,Armería,6
79,Coquimatlán,6
80,Comala,6
81,Cuauhtémoc,6
82,Ixtlahuacán,6
83,Minatitlán,6
84,Villa de Álvarez,6
85,Tuxtla Gutiérrez,7
86,San Fernando,7
87,Berriozábal,7
88,Ocozocoautla de Espinosa,7
89,Suchiapa,7
90,Chiapa de Corzo,7
91,Osumacinta,7
92,San Cristóbal de las Casas,7
93,Chamula,7
94,Ixtapa,7
95,Zinacantán,7
96,Acala,7
97,Emiliano Zapata,7
98,Chiapilla,7
99,San Lucas,7
100,Teopisca,7
101,Amatenango del Valle,7
102,Chanal,7
103,Oxchuc,7
104,Huixtán,7
105,Tenejapa,7
106,Mitontic,7
107,Reforma,7
108,Juárez,7
109,Pichucalco,7
110,Sunuapa,7
111,Ostuacán,7
112,Francisco León,7
113,Ixtacomitán,7
114,Solosuchiapa,7
115,Ixtapangajoya,7
116,Mezcalapa,7
117,Tecpatán,7
118,Copainalá,7
119,Chicoasén,7
120,Coapilla,7
121,Pantepec,7
122,Tapalapa,7
123,Ocotepec,7
124,Chapultenango,7
125,Amatán,7
126,Huitiupán,7
127,Ixhuatán,7
128,Tapilula,7
129,Rayón,7
130,Pueblo Nuevo Solistahuacán,7
131,Rincón Chamula San Pedro,7
132,Jitotol,7
133,Bochil,7
134,Soyaló,7
135,San Juan Cancuc,7
136,Sabanilla,7
137,Simojovel,7
138,San Andrés Duraznal,7
139,El Bosque,7
140,Chalchihuitán,7
141,Larráinzar,7
142,Santiago el Pinar,7
143,Chenalhó,7
144,Aldama,7
145,Pantelhó,7
146,Sitalá,7
147,Salto de Agua,7
148,Tila,7
149,Tumbalá,7
150,Yajalón,7
151,Ocosingo,7
152,Chilón,7
153,Benemérito de las Américas,7
154,Marqués de Comillas,7
155,Palenque,7
156,La Libertad,7
157,Catazajá,7
158,Comitán de Domínguez,7
159,Tzimol,7
160,Chicomuselo,7
161,Bella Vista,7
162,Frontera Comalapa,7
163,La Trinitaria,7
164,La Independencia,7
165,Maravilla Tenejapa,7
166,Las Margaritas,7
167,Altamirano,7
168,Venustiano Carranza,7
169,Totolapa,7
170,Nicolás Ruíz,7
171,Las Rosas,7
172,La Concordia,7
173,Ángel Albino Corzo,7
174,Montecristo de Guerrero,7
175,Socoltenango,7
176,Cintalapa de Figueroa,7
177,Jiquipilas,7
178,Arriaga,7
179,Villaflores,7
180,Tonalá,7
181,Villa Corzo,7
182,El Parral,7
183,Pijijiapan,7
184,Mapastepec,7
185,Acapetahua,7
186,Acacoyagua,7
187,Escuintla,7
188,Villa Comaltitlán,7
189,Huixtla,7
190,Mazatán,7
191,Huehuetán,7
192,Tuzantán,7
193,Tapachula,7
194,Suchiate,7
195,Frontera Hidalgo,7
196,Metapa,7
197,Tuxtla Chico,7
198,Unión Juárez,7
199,Cacahoatán,7
200,Motozintla,7
201,Mazapa de Madero,7
202,Amatenango de la Frontera,7
203,Bejucal de Ocampo,7
204,La Grandeza,7
205,El Porvenir,7
206,Siltepec,7
207,Honduras de la Sierra,7
208,Capitán Luis Ángel Vidal,7
209,Chihuahua,8
210,Cuauhtémoc,8
211,Riva Palacio,8
212,Aquiles Serdán,8
213,Bachíniva,8
214,Guerrero,8
215,Nuevo Casas Grandes,8
216,Ascensión,8
217,Janos,8
218,Casas Grandes,8
219,Galeana,8
220,Buenaventura,8
221,Gómez Farías,8
222,Ignacio Zaragoza,8
223,Madera,8
224,Namiquipa,8
225,Temósachic,8
226,Matachí,8
227,Juárez,8
228,Guadalupe,8
229,Praxedis G. Guerrero,8
230,Ahumada,8
231,Coyame del Sotol,8
232,Ojinaga,8
233,Aldama,8
234,Julimes,8
235,Manuel Benavides,8
236,Delicias,8
237,Rosales,8
238,Meoqui,8
239,Dr. Belisario Domínguez,8
240,Satevó,8
241,San Francisco de Borja,8
242,Nonoava,8
243,Guachochi,8
244,Bocoyna,8
245,Cusihuiriachi,8
246,Gran Morelos,8
247,Santa Isabel,8
248,Carichí,8
249,Uruachi,8
250,Ocampo,8
251,Moris,8
252,Chínipas,8
253,Maguarichi,8
254,Guazapares,8
255,Batopilas de Manuel Gómez Morín,8
256,Urique,8
257,Morelos,8
258,Guadalupe y Calvo,8
259,San Francisco del Oro,8
260,Rosario,8
261,Huejotitán,8
262,El Tule,8
263,Balleza,8
264,Santa Bárbara,8
265,Camargo,8
266,Saucillo,8
267,Valle de Zaragoza,8
268,La Cruz,8
269,San Francisco de Conchos,8
270,Hidalgo del Parral,8
271,Allende,8
272,López,8
273,Matamoros,8
274,Jiménez,8
275,Coronado,8
276,Álvaro Obregón,9
277,Azcapotzalco,9
278,Benito Juárez,9
279,Coyoacán,9
280,Cuajimalpa de Morelos,9
281,Cuauhtémoc,9
282,Gustavo A. Madero,9
283,Iztacalco,9
284,Iztapalapa,9
285,La Magdalena Contreras,9
286,Miguel Hidalgo,9
287,Milpa Alta,9
288,Tláhuac,9
289,Tlalpan,9
290,Venustiano Carranza,9
291,Xochimilco,9
292,Durango,10
293,Canatlán,10
294,Nuevo Ideal,10
295,Coneto de Comonfort,10
296,San Juan del Río,10
297,Canelas,10
298,Topia,10
299,Tamazula,10
300,Santiago Papasquiaro,10
301,Otáez,10
302,San Dimas,10
303,Guadalupe Victoria,10
304,Peñón Blanco,10
305,Pánuco de Coronado,10
306,Poanas,10
307,Nombre de Dios,10
308,Vicente Guerrero,10
309,Súchil,10
310,Pueblo Nuevo,10
311,Mezquital,10
312,Gómez Palacio,10
313,Lerdo,10
314,Mapimí,10
315,Tlahualilo,10
316,Hidalgo,10
317,Ocampo,10
318,Guanaceví,10
319,San Bernardo,10
320,Indé,10
321,San Pedro del Gallo,10
322,Tepehuanes,10
323,El Oro,10
324,Nazas,10
325,San Luis del Cordero,10
326,Rodeo,10
327,Cuencamé,10
328,Santa Clara,10
329,San Juan de Guadalupe,10
330,General Simón Bolívar,10
331,Guanajuato,11
332,Silao de la Victoria,11
333,Romita,11
334,San Francisco del Rincón,11
335,Purísima del Rincón,11
336,Manuel Doblado,11
337,Irapuato,11
338,Salamanca,11
339,Pueblo Nuevo,11
340,Pénjamo,11
341,Cuerámaro,11
342,Abasolo,11
343,Huanímaro,11
344,León,11
345,San Felipe,11
346,Ocampo,11
347,San Miguel de Allende,11
348,Dolores Hidalgo Cuna de la Independencia Nacional,11
349,San Diego de la Unión,11
350,San Luis de la Paz,11
351,Victoria,11
352,Xichú,11
353,Atarjea,11
354,Santa Catarina,11
355,Doctor Mora,11
356,Tierra Blanca,11
357,San José Iturbide,11
358,Celaya,11
359,Apaseo el Grande,11
360,Comonfort,11
361,Santa Cruz de Juventino Rosas,11
362,Villagrán,11
363,Cortazar,11
364,Valle de Santiago,11
365,Jaral del Progreso,11
366,Apaseo el Alto,11
367,Jerécuaro,11
368,Coroneo,11
369,Acámbaro,11
370,Tarimoro,11
371,Tarandacuao,11
372,Moroleón,11
373,Salvatierra,11
374,Yuriria,11
375,Santiago Maravatío,11
376,Uriangato,11
377,Chilpancingo de los Bravo,12
378,General Heliodoro Castillo,12
379,Leonardo Bravo,12
380,Tixtla de Guerrero,12
381,Ayutla de los Libres,12
382,Ñuu Savi,12
383,Mochitlán,12
384,Quechultenango,12
385,Tecoanapa,12
386,Acapulco de Juárez,12
387,Juan R. Escudero,12
388,San Marcos,12
389,Las Vigas,12
390,Iguala de la Independencia,12
391,Huitzuco de los Figueroa,12
392,Tepecoacuilco de Trujano,12
393,Eduardo Neri,12
394,Taxco de Alarcón,12
395,Buenavista de Cuéllar,12
396,Tetipac,12
397,Pilcaya,12
398,Teloloapan,12
399,Ixcateopan de Cuauhtémoc,12
400,Pedro Ascencio Alquisiras,12
401,General Canuto A. Neri,12
402,Arcelia,12
403,Apaxtla,12
404,Cuetzala del Progreso,12
405,Cocula,12
406,Tlapehuala,12
407,Cutzamala de Pinzón,12
408,Pungarabato,12
409,Tlalchapa,12
410,Coyuca de Catalán,12
411,Ajuchitlán del Progreso,12
412,Zirándaro,12
413,San Miguel Totolapan,12
414,La Unión de Isidoro Montes de Oca,12
415,Petatlán,12
416,Coahuayutla de José María Izazaga,12
417,Zihuatanejo de Azueta,12
418,Técpan de Galeana,12
419,Atoyac de Álvarez,12
420,Benito Juárez,12
421,Coyuca de Benítez,12
422,Olinalá,12
423,Atenango del Río,12
424,Copalillo,12
425,Cualác,12
426,Chilapa de Álvarez,12
427,José Joaquín de Herrera,12
428,Ahuacuotzingo,12
429,Zitlala,12
430,Mártir de Cuilapan,12
431,Huamuxtitlán,12
432,Xochihuehuetlán,12
433,Alpoyeca,12
434,Tlapa de Comonfort,12
435,Tlalixtaquilla de Maldonado,12
436,Xalpatláhuac,12
437,Zapotitlán Tablas,12
438,Acatepec,12
439,Atlixtac,12
440,Copanatoyac,12
441,Malinaltepec,12
442,Santa Cruz del Rincón,12
443,Iliatenco,12
444,Tlacoapa,12
445,Atlamajalcingo del Monte,12
446,San Luis Acatlán,12
447,Metlatónoc,12
448,Cochoapa el Grande,12
449,Alcozauca de Guerrero,12
450,Ometepec,12
451,Tlacoachistlahuaca,12
452,Xochistlahuaca,12
453,Florencio Villarreal,12
454,Cuautepec,12
455,Copala,12
456,Azoyú,12
457,Juchitán,12
458,Marquelia,12
459,Cuajinicuilapa,12
460,San Nicolás,12
461,Igualapa,12
462,Pachuca de Soto,13
463,Mineral del Chico,13
464,Mineral del Monte,13
465,Ajacuba,13
466,San Agustín Tlaxiaca,13
467,Mineral de la Reforma,13
468,Zapotlán de Juárez,13
469,Jacala de Ledezma,13
470,Pisaflores,13
471,Pacula,13
472,La Misión,13
473,Chapulhuacán,13
474,Ixmiquilpan,13
475,Zimapán,13
476,Nicolás Flores,13
477,Cardonal,13
478,Tasquillo,13
479,Alfajayucan,13
480,Huichapan,13
481,Tecozautla,13
482,Nopala de Villagrán,13
483,Actopan,13
484,Santiago de Anaya,13
485,San Salvador,13
486,Francisco I. Madero,13
487,El Arenal,13
488,Mixquiahuala de Juárez,13
489,Progreso de Obregón,13
490,Chilcuautla,13
491,Tezontepec de Aldama,13
492,Tlahuelilpan,13
493,Tula de Allende,13
494,Tepeji del Río de Ocampo,13
495,Chapantongo,13
496,Tepetitlán,13
497,Tetepango,13
498,Tlaxcoapan,13
499,Atitalaquia,13
500,Atotonilco de Tula,13
501,Huejutla de Reyes,13
502,San Felipe Orizatlán,13
503,Jaltocán,13
504,Huautla,13
505,Atlapexco,13
506,Huazalingo,13
507,Yahualica,13
508,Xochiatipan,13
509,Molango de Escamilla,13
510,Tepehuacán de Guerrero,13
511,Lolotla,13
512,Tlanchinol,13
513,Tlahuiltepa,13
514,Juárez Hidalgo,13
515,Zacualtipán de Ángeles,13
516,Calnali,13
517,Xochicoatlán,13
518,Tianguistengo,13
519,Atotonilco el Grande,13
520,Eloxochitlán,13
521,Metztitlán,13
522,San Agustín Metzquititlán,13
523,Metepec,13
524,Huehuetla,13
525,San Bartolo Tutotepec,13
526,Agua Blanca de Iturbide,13
527,Tenango de Doria,13
528,Huasca de Ocampo,13
529,Acatlán,13
530,Omitlán de Juárez,13
531,Epazoyucan,13
532,Tulancingo de Bravo,13
533,Acaxochitlán,13
534,Cuautepec de Hinojosa,13
